gene name	list of shared diseases
UNC5C	"Respiratory System Abnormalities;Lung Neoplasms;Nasal Polyps;Urticaria;Hemorrhagic Disorders;Esophageal Motility Disorders;""Conjunctivitis, Allergic"";Cholelithiasis;Spinal Stenosis;Bronchitis;Pharyngitis;"
SCAMP3	"Hypoparathyroidism;Gastroparesis;""Prostate cancer, familial"";Dysthymic Disorder;Tension-Type Headache;Digestive System Neoplasms;Paget Disease Of Bone 4;Accessory pancreas;"
ZNF788	Strabismus;Candidiasis;Chronic Disease;
PTTG1	Otitis Media;Muscle Weakness;Hyperthyroidism;
NHEJ1	Cachexia;Cholangitis;
NFAT5	"Cardiac Conduction Defect;Hyperlipidemias;Diabetes mellitus;Skin Neoplasms;""Diabetes Mellitus, Type 2"";Fasciitis;""Corneal Degeneration, Ribbonlike, with Deafness"";Sunburn;Conduct Disorder;"
FONG	"Constipation;""Cardiac Arrhythmia, Ankyrin-B-Related"";""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Hyperthyroidism;"
MMAB	"Anxiety Disorders;""Depression, Postpartum"";Sprains and Strains;""Phobia, Specific"";"
DCLK1	Cervical Intraepithelial Neoplasia;Uterine Cervical Neoplasms;
SREBF1	"Umbilical cord ulceration and intestinal atresia;Duodenal Ulcer;Thrombocytopenia;Pleurisy;Asthma;Tauopathy and Respiratory Failure;Corneal Edema;Chronic Disease;Esophagitis;Bronchopneumonia;""Pneumonia, Pneumococcal"";Sepsis;Cellulitis;"
GCK	"Intervertebral disc disease;Intervertebral Disc Displacement;Intervertebral Disc Degeneration;Spinal Stenosis;Schizophrenia;Angina Pectoris;Polymyalgia Rheumatica;Pneumothorax;Spondylosis;Delirium;Hyponatremia;Alopecia;Respiratory System Abnormalities;""Renal Failure, Progressive, with Hypertension"";Alopecia Areata;Multiple Myeloma;"
MAVS	Hemorrhoids;Osteomyelitis;Peripheral Vascular Diseases;Glomerulonephritis;Heart Valve Diseases;Cystitis;Peripheral Arterial Disease;
UCK2	"Lupus Erythematosus, Discoid;""Lupus Erythematosus, Systemic"";""Diabetes Mellitus, Type 5"";Somatoform Disorders;Airway Obstruction;Bronchiectasis;Abdominal pain;"
ACBD4	"Gout;Hyperventilation;Alzheimer Disease;Optic Neuritis;""Lower Extremity Deformities, Congenital"";Mental Disorders;Essential Tremor;"
CDH2	Testicular Hydrocele;Cellulitis;Fever of Unknown Origin;
BST1	"Thrombocytopenia;Essential Tremor;Uterine Cervical Neoplasms;Tongue Diseases;Periodontitis;""Renal Failure, Progressive, with Hypertension"";Endocarditis;Cervical Intraepithelial Neoplasia;Mastoiditis;Nasal Polyps;Phosphorus Metabolism Disorders;"
NR5A2	Odontoma dysphagia syndrome;Presenile And Senile Dementia;Crohn Disease;Spondylosis;Sacroiliitis;
RAB11B	"Peptic Ulcer;""Child Development Disorders, Pervasive"";Bundle-Branch Block;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Chronic Disease;Optic Neuritis;Cardiac Conduction Defect;"
SCG3	"Chronic Disease;Dental Caries;Periodontitis;Optic Atrophy;Hemoptysis;""Diabetes Mellitus, Type 3"";Adenocarcinoma in Situ;"
ST6GAL1	"Conjunctivitis, Allergic;Gastrointestinal Diseases;Adenocarcinoma in Situ;Graves Disease;Jaw Diseases;Hemorrhagic Disorders;Pulmonary Embolism;"
DNAH11	"Retinal Hemorrhage;Glaucoma;""Intestinal polyposis, osteomas, sebaceous cysts"";Retinal Diseases;Chronic Disease;Breast Diseases;Myocardial Infarction;Labyrinthitis;Torsion dystonia with onset in infancy;""Glaucoma 1, Open Angle, A"";Tonsillitis;Retinal Drusen;Graves Disease;Macular Degeneration;Diaphragmatic Hernia;Esophageal Atresia;Peptic Ulcer;Pancreatitis;""Tooth Eruption, Ectopic"";"
PRKG2	Gastrointestinal Hemorrhage;Proteinuria;Chronic Disease;Thyroid cancer;Sexual and Gender Disorders;Pharyngitis;Digestive System Neoplasms;Blindness;
PRKG1	"Lung Neoplasms;Respiratory System Abnormalities;Chronic Disease;Herpes Zoster;""Hepatitis, Viral, Human"";Hypotension;Syncope;Spinal Stenosis;Spondylosis;""Corneal Dystrophy, Fuchs Endothelial, 3"";Brain Concussion;"
NKAIN2	"Diabetes Mellitus, Type 6;Obsessive-Compulsive Disorder;""Diabetes Mellitus, Type 5"";"
HUNK	"Digestive System Neoplasms;Chronic Disease;Sleep disorders;Uterine Prolapse;Leukemia;Disorders of other cranial nerves;Gastrointestinal Hemorrhage;Retinal Hemorrhage;Duodenitis;""Lupus Erythematosus, Systemic"";Pericarditis;Facial Nerve Diseases;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";""Genital Neoplasms, Female"";Paraproteinemias;Anisometropia;Restless Legs Syndrome;Strabismus;Spondylosis;Breast Neoplasms;"
STXBP5	"Eye Infections;Hemorrhagic Septicemia;Bacterial Infections;Lymphadenitis;Psoriasis;Pelvic Inflammatory Disease;""Diabetes Mellitus, Type 5"";Digestive System Diseases;Sleep Apnea Syndromes;Graves Disease;"
ZNRD1	"Celiac Disease;Linear IgA Bullous Dermatosis;""Lupus Erythematosus, Discoid"";Herpes Simplex;""Diabetes Mellitus, Type 2"";""Lupus Erythematosus, Systemic"";""Deafness, Conductive, with Malformed External Ear"";""Fractures, Stress"";Hematuria;Familial Acute Myeloid Leukemia with Mutated Cebpa;""Aplastic anemia, idiopathic"";Purpura;Cellulitis;"
HMGA2	"Chronic Disease;Bundle-Branch Block;Heart Failure;Hallux Rigidus;""Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"";Gingivitis;""Genital Neoplasms, Female"";Bipolar Disorder;Intervertebral Disc Degeneration;Corneal Opacity;Intervertebral disc disease;Spinal Stenosis;Mink Viral Enteritis;Digestive System Neoplasms;Bile Duct Diseases;Cardiac Conduction Defect;Hereditary Breast and Ovarian Cancer Syndrome;Myopia;Uterine Neoplasms;"
ERC2	"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease;Tongue Diseases;Atherosclerosis;"
HMGA1	"Esophageal Motility Disorders;Sepsis;Hemorrhagic Disorders;""Goiter, Multinodular "";Respiratory Tract Neoplasms;Muscle Weakness;Duodenal Ulcer;Pneumothorax;"
IL1R2	"Hemorrhagic Disorders;Otosclerosis;""Diabetes Mellitus, Type 2"";Candidiasis;Nephrotic Syndrome;Spermatocele;Chronic Disease;Mild Cognitive Impairment;"
HK1	"Myocardial Infarction;""Goiter, Multinodular "";Diplopia;Aphakia;Celiac Disease;"
CACNB3	Hepatomegaly;Vitamin B 12 Deficiency;Iron-Refractory Iron Deficiency Anemia;Testicular Diseases;Atrophic Vaginitis;Skin Neoplasms;Myelodysplastic-Myeloproliferative Diseases;
GLTSCR1	"Dupuytren Contracture;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Barrett Esophagus;Jaw Diseases;Overweight;Migraine with Aura;"
POU5F1	"Stomach Neoplasms;Hypoglycemia;Strabismus;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Keratoconjunctivitis Sicca;Sinusitis;Delirium;Respiratory System Abnormalities;"
HS3ST3A1	Chronic Disease;Periodontitis;Periapical Abscess;
CD226	Chondrocalcinosis;Pulmonary Heart Disease;Personality Disorders;Adenocarcinoma in Situ;Meniere Disease;Testicular Hydrocele;Cardiomyopathies;
PPP3CA	"Scleritis;Sprains and Strains;Hammer Toe Syndrome;""Foot Deformities, Acquired"";Pleurisy;"
BHLHE40	"Pruritus;Uveitis;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";Accessory pancreas;Hirsutism;"
IRX4	"Leg Length Inequality;Corneal Edema;""Carbohydrate Metabolism, Inborn Errors"";Optic Atrophy;Bronchopneumonia;Postoperative Nausea and Vomiting;""Hyperparathyroidism, Secondary"";Tonsillitis;"
PRPSAP2	Familial Acute Myeloid Leukemia with Mutated Cebpa;Diaphragmatic Hernia;Alzheimer Disease;Spinal Curvatures;Leg Length Inequality;Scoliosis;Hypoparathyroidism;
CYP2C19	"Arthrogryposis multiplex with deafness, inguinal hernias, and early death;Familial Acute Myeloid Leukemia with Mutated Cebpa;Mental Disorders;Migraine Disorders;Hereditary Breast and Ovarian Cancer Syndrome;Pneumoconiosis;Choroid Diseases;"
SEZ6L	Cellulitis;
EFHA2	"Graves Disease;Hyperparathyroidism;Osteitis Deformans;Candidiasis;""Parathyroid Glands, Agenesis Of"";"
PRDX5	Sciatica;
ARHGEF3	Nail Diseases;Thrombocytopenia;Purpura;Fever of Unknown Origin;Respiratory System Abnormalities;Hematuria;Urticaria;Cellulitis;Hydronephrosis;Hypernatremia;Movement Disorders;
MRPS22	Heart Septal Defects;Chronic Disease;Uterine Prolapse;Pelvic Inflammatory Disease;
GLG1	"Testicular Diseases;Hypertension;Prostatitis;""Child Development Disorders, Pervasive"";Meniere Disease;Accessory pancreas;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Cellulitis;Respiratory Tract Neoplasms;"
CD40	Pleurisy;Delirium;Airway Obstruction;Testicular Diseases;Hematuria;Asthma;
GORASP2	Heart Septal Defects;Cerebrospinal Fluid Otorrhea;Out-of-Hospital Cardiac Arrest;
UNC119B	Chronic Disease;Digestive System Neoplasms;Respiratory Insufficiency;Hyperlipidemias;
UGT1A10	"Hyperbilirubinemia;Jaundice;Cellulitis;Rhabdomyolysis;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Urticaria;Glycosuria;Blindness;""Renal Failure, Progressive, with Hypertension"";Intervertebral disc disease;Hypotension;Tension-Type Headache;Sweat Gland Diseases;Iron-Refractory Iron Deficiency Anemia;Delirium;Tauopathy and Respiratory Failure;Diabetes mellitus;"
PECAM1	"Apnea;Schizophrenia;""Goiter, Multinodular "";"
CSK	"Stillbirth;Facial Nerve Diseases;Hallux Valgus;""Lower Extremity Deformities, Congenital"";Exophthalmos;Paraproteinemias;"
SEMA6A	Pityriasis;Skin Neoplasms;
FAM155A	"Prostate cancer, familial;Abdominal pain;Hyperthyroidism;Pneumonia;Uterine Cervical Diseases;Epilepsy;Pulmonary Embolism;Keratoconjunctivitis Sicca;Digestive System Diseases;Bronchitis;Urethral Stricture;"
UBE2D1	"Cellulitis;Appendicitis;Heart Valve Diseases;Amblyopia;Polycythemia Vera;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Iron-Refractory Iron Deficiency Anemia;Stillbirth;Duodenitis;Hypoglycemia;Genu Varum;"
TMEM38B	"Shock;Paget Disease Of Bone 4;Basal Ganglia Cerebrovascular Disease;Mouth Neoplasms;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Inflammatory Bowel Disease;Myocardial Infarction;Impetigo;Osteitis Deformans;Hypotension;Insect Bites and Stings;"
HNF1B	"Diplopia;""Prostate cancer, familial"";Periostitis;Cardiomyopathies;Knee Dislocation;Urinary Bladder Neck Obstruction;Lipoma;Myocardial Infarction;"
KIDINS220	"Delirium;Proteinuria;""Hernia, Femoral"";Cellulitis;"
HNF1A	"Nail Diseases;Spinal Stenosis;Heart Septal Defects;Myocardial Infarction;Bronchitis;Cystitis;Meniere Disease;Apnea;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";Breast Neoplasms;Pericarditis;Diabetes mellitus;""Diabetes Mellitus, Type 2"";""Intestinal polyposis, osteomas, sebaceous cysts"";Hodgkin Disease;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Autonomic Nervous System Diseases;Intervertebral Disc Degeneration;Spondylolisthesis;Complex Regional Pain Syndromes;Cholangitis;Intervertebral Disc Displacement;""Diabetes Mellitus, Type 6"";""Lupus Erythematosus, Systemic"";""Prostate cancer, familial"";Back Pain;""Influenza, Human"";"
AFF1	Bursitis;Chronic Disease;
TIMM23	"Sepsis;Intervertebral Disc Degeneration;Hyperhidrosis;Kidney Diseases;Intervertebral disc disease;Aortic Aneurysm;Sweat Gland Diseases;""Parathyroid Glands, Agenesis Of"";Muscle Weakness;"
DSG3	Polycythemia Vera;Spondylosis;Gastrointestinal Diseases;
PALB2	Lung Neoplasms;Failure to Thrive;Tonsillitis;Iron Metabolism Disorders;Mycoses;Hypothyroidism;
ARHGAP10	Renal Colic;Hematuria;Lyme Disease;Torticollis;
SIX1	Corneal Opacity;Brain Neoplasms;Graves Disease;Hallux Rigidus;Inflammatory Bowel Disease;Otosclerosis;Urethritis;
FAM110B	Hyponatremia;Hypovolemia;
ZFAND3	"Enteritis;Kyphosis;Spondylosis;Osteoporosis;Ascites;Varicose Veins;Brain Neoplasms;Parkinson Disease;Bundle-Branch Block;""Influenza, Human"";Gastrointestinal Hemorrhage;"
DCDC5	"Tachycardia;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Tinnitus;Spondylosis;Cellulitis;Intracranial Hemorrhages;Glossitis;"
MYLIP	Bursitis;Nervous System Diseases;
HLA-DPB2	Esophageal Motility Disorders;Alcohol-Related Disorders;Sinusitis;Gastrointestinal Diseases;Iatrogenic Disease;Thrombocytopenia;Tongue Diseases;Urticaria;Chronic Disease;Thyrotoxicosis;Corneal Opacity;Cystitis;Delirium;Parasomnias;Blindness;Mental Disorders;
AGPHD1	"Emphysema;Hidradenitis;Duodenal Ulcer;Airway Obstruction;Chronic Disease;""Diabetes Mellitus, Type 3"";Uterine Prolapse;Vitamin B 12 Deficiency;""Diabetes Mellitus, Type 2"";Pericarditis;Tonsillitis;"
RIT2	"Leukemia, Lymphoid;Herpes Simplex;Cystic Kidney Disease;Chronic Disease;Pleurisy;Hyperlipidemias;""Sleep Apnea, Central"";Leukemia;Obesity;Pelvic Inflammatory Disease;Overweight;Bone Neoplasms;Schizoid Personality Disorder;Gout;"
PROX2	"Adjustment Disorders;Hyponatremia;Water-Electrolyte Imbalance;""Prader-Willi habitus, osteopenia, and camptodactyly"";Testicular Diseases;Personality Disorders;""Spondylitis, Ankylosing"";Heart Valve Diseases;"
GRM8	"Iron-Refractory Iron Deficiency Anemia;Esophagitis;Osteoarthritis;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;""Child Development Disorders, Pervasive"";Adrenal Gland Diseases;Cellulitis;Eye Neoplasms;Psoriasis;Alcoholism;Pruritus;Cerebrospinal Fluid Otorrhea;"
ACADL	"Endocrine Gland Neoplasms;Tongue Diseases;Chronic Disease;Mycoses;Urinary Bladder Neck Obstruction;""Pneumonia, Viral"";Dislocations;"
PROX1	"Diabetes Mellitus, Type 2;Diabetes mellitus;Sleep Apnea Syndromes;Adrenal Gland Diseases;Kidney Neoplasms;""Diabetes Mellitus, Type 3"";Chronic Disease;Pulmonary Embolism;""Diabetes Mellitus, Type 6"";Thyroiditis;"
C7orf50	Sleep disorders;
SLC6A13	"Uveitis;Gastroparesis;Respiratory Tract Neoplasms;""Lower Extremity Deformities, Congenital"";Rosacea;Amblyopia;Bundle-Branch Block;"
ANXA13	"Chronic Disease;Urethral Stricture;Peripheral Arterial Disease;Subarachnoid Hemorrhage;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Hammer Toe Syndrome;"
DDAH1	"Lyme Disease;""Pneumonia, Bacterial"";Adjustment Disorders;""Menopause, Premature"";Herpes Simplex;Hyperventilation;Paraproteinemias;Chronic Disease;Neck Pain;"
GSTCD	Mental Disorders;Corneal Edema;Myocardial Infarction;
SPATA13	Postoperative Nausea and Vomiting;Peripheral Arterial Disease;Peripheral Vascular Diseases;
GIT2	"Mental Disorders;Chronic Disease;""Diabetes Mellitus, Type 6"";""Pancreatic cancer, adult"";Periodontitis;"
ESR1	"Chronic Disease;Eosinophilia;Temporomandibular Joint Disorders;Hyperlipidemias;Heart Valve Diseases;Ventricular Flutter;Acidosis;Out-of-Hospital Cardiac Arrest;Iron-Refractory Iron Deficiency Anemia;""Genital Neoplasms, Female"";Hallucinations;""Goiter, Multinodular "";""Heart Failure, Systolic"";Hypercalcemia;Wandering Spleen;Heart Failure;Hypoparathyroidism;Hypercholesterolemia;Uveitis;""Gait Disorders, Neurologic"";Periodontitis;""Hepatitis, Viral, Human"";Shock;Hypothyroidism;Otitis Media;Heartburn;Cardiomyopathies;""Insomnia, Fatal Familial"";Liver Diseases;Hypocalcemia;Alzheimer Disease;Pneumothorax;Tonsillitis;"
MYT1L	Hematuria;Temporomandibular Joint Disorders;Urethritis;Anxiety Disorders;
TMC2	Muscular Dystrophies;Autonomic Nervous System Diseases;Uterine Prolapse;Hyperhidrosis;Major Depressive Disorder;Breast Diseases;
NCAPD3	"Retinal Hemorrhage;""Diabetes Mellitus, Type 4"";Spondylolisthesis;Hypothyroidism;Sexually Transmitted Diseases;Uterine Prolapse;Bile Duct Diseases;Hyperlipidemias;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Hematemesis;Abdominal pain;"
F12	Insect Bites and Stings;Dysmenorrhea;Brain Neoplasms;Keratoconjunctivitis Sicca;Cystic Kidney Disease;Digestive System Neoplasms;
CNTNAP5	"Thrombocytopenia;""Amino Acid Transport Disorders, Inborn"";Essential Tremor;Tobacco Use Disorder;"
POLR3G	Digestive System Neoplasms;Endocrine Gland Neoplasms;Atrial Fibrillation;Heart Failure;Tonsillitis;Atrial Flutter;
KDM4C	"Hyperlipidemias;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Epistaxis;Pulmonary Heart Disease;Intervertebral Disc Displacement;""Gastritis, Atrophic"";""Gait Disorders, Neurologic"";""Child Development Disorders, Pervasive"";"
RBM38	Insect Bites and Stings;Tympanic Membrane Perforation;
SHB	Optic Atrophy;Diaphragmatic Hernia;Mink Viral Enteritis;
SPATS2L	"Keratosis, Seborrheic;Pancytopenia;Chronic Disease;Adenocarcinoma in Situ;Liver Diseases;"
SF1	"Memory Disorders;Cystic Kidney Disease;Bipolar Disorder;Atrophic Vaginitis;Sebaceous Gland Diseases;""Intestinal polyposis, osteomas, sebaceous cysts"";Brain Neoplasms;Gastroparesis;Chronic Disease;Alopecia;Alopecia Areata;""Sleep Apnea, Central"";"
LYPLAL1	"Diabetes mellitus;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";""Diabetes Mellitus, Type 2"";Otosclerosis;Obsessive-Compulsive Disorder;Chronic Disease;Brain Neoplasms;"
DBC1	"Peptic Ulcer;Duodenal Ulcer;Irritable Bowel Syndrome;Odontoma dysphagia syndrome;Schizoid Personality Disorder;Major Depressive Disorder;Pancreatitis;Prurigo;Feeding and Eating Disorders;Accessory pancreas;Cholesteatoma;Spermatocele;Digestive System Diseases;Nail Diseases;""Depression, Postpartum"";Heart Valve Diseases;"
C15orf38	"Sciatica;Acidosis;Lipoma;Cardiomyopathies;Hypoparathyroidism;Sleep disorders;Brain Neoplasms;""Keratosis, Actinic"";Digestive System Diseases;""Pulmonary Hypertension, Primary, Autosomal Recessive"";"
FAF1	"Atrophic Vaginitis;Sleep disorders;Pericarditis;Tympanic Membrane Perforation;""Renal Failure, Progressive, with Hypertension"";"
C10orf11	"Impetigo;Heart Valve Diseases;Warts;Astigmatism;Epilepsy;Bronchitis;""Anemia, Pernicious"";Herpes Simplex;Pharyngitis;"
DGKH	"Adjustment Disorders;Cellulitis;Pneumothorax;Abdominal pain;Bundle-Branch Block;Atrial flutter;Contracture;""Renal Failure, Progressive, with Hypertension"";Angina Pectoris;Pulmonary Fibrosis;Pleurisy;""Abnormalities, Radiation-Induced"";Personality Disorders;Fasciitis;Barrett Esophagus;Intervertebral disc disease;Myelodysplastic-Myeloproliferative Diseases;Postoperative Nausea and Vomiting;Cholesteatoma;Diverticulitis;Tauopathy and Respiratory Failure;Neoplastic Processes;Otitis Externa;"
CDKAL1	"Diabetes Mellitus, Type 2;Diabetes mellitus;""Diabetes Mellitus, Type 3"";""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 5"";""Diabetes Mellitus, Type 6"";Tension-Type Headache;Myasthenia Gravis;Diabetic Retinopathy;Cerebrospinal Fluid Otorrhea;""Diabetes Mellitus, Type 1"";Esophageal Atresia;Stomach Neoplasms;""Glaucoma 1, Open Angle, A"";""Glaucoma, Primary Open Angle"";Esophageal Neoplasms;Corneal Edema;Dysuria;Essential Tremor;Constipation;Endometrial Hyperplasia;Emphysema;"
TUSC1	"Hypertension, Pregnancy-Induced;Chronic Disease;Vitamin B Deficiency;Fasciitis;"
SPIB	"Diabetes Mellitus, Type 4;Tauopathy and Respiratory Failure;""Diabetes Mellitus, Type 5"";Borderline Personality Disorder;""Diabetes Mellitus, Type 1"";Sacroiliitis;"
MTMR4	Spondylosis;Hallucinations;Alzheimer Disease;Linear IgA Bullous Dermatosis;
MTMR3	"Parathyroid Glands, Agenesis Of;Muscle Weakness;Varicose Veins;Hypoparathyroidism;Hyperparathyroidism;Chronic Disease;""Lower Extremity Deformities, Congenital"";Myelodysplastic-Myeloproliferative Diseases;""Insomnia, Fatal Familial"";Mycoses;"
MYNN	Facial Nerve Diseases;Cellulitis;Abdominal pain;Myopia;
MSMB	"Prostate cancer, familial;Muscular Dystrophies;Urethral Stricture;Renal Colic;"
UST	Bundle-Branch Block;
STOML3	Chronic Disease;Pruritus;
IL27	Hypothyroidism;Choroid Diseases;Respiratory Insufficiency;Corneal Diseases;Fever of Unknown Origin;Ankylosis;Retinal Diseases;Cardiac Conduction Defect;Glaucoma;Hallux Rigidus;Prostatitis;Iron-Refractory Iron Deficiency Anemia;
C6orf10	"Rheumatoid Arthritis, Systemic Juvenile;Giant Cell Arteritis;Prostatitis;""Diabetes Mellitus, Type 1"";Celiac Disease;""Diabetes Mellitus, Type 4"";Pneumonia;""Diabetes Mellitus, Type 2"";Torsion dystonia with onset in infancy;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Cardiac Arrhythmia, Ankyrin-B-Related"";""Pneumonia, Viral"";Polyarteritis Nodosa;Hematuria;Urticaria;Multiple Sclerosis;""Diabetes Mellitus, Type 3"";Hypernatremia;Muscle Weakness;Colonic Neoplasms;Linear IgA Bullous Dermatosis;Proteinuria;Macular Degeneration;Myelodysplastic-Myeloproliferative Diseases;""Lupus Erythematosus, Discoid"";Shock;Rosacea;Mastodynia;Uterine Prolapse;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Pulmonary Fibrosis;Retinal Diseases;Herpes Zoster;Dyspareunia;Bundle-Branch Block;Psoriasis;Irritable Bowel Syndrome;Atherosclerosis;"
